chrom	start	end	value
Fvb1	4676303	4676402	0.363636364
Fvb1	4705303	4705402	0.217592593
Fvb1	4705403	4705502	0.221153846
Fvb1	4778503	4778602	0.230113636
Fvb1	4792303	4792402	-0.306620209
Fvb1	4858603	4858702	0.424342105
Fvb1	4864303	4864402	0.209582102
Fvb1	4899903	4900002	0.282485876
Fvb1	4903703	4903802	-0.235294118
Fvb1	5041903	5042002	0.211034483
Fvb1	5052303	5052402	-0.387242268
Fvb1	5081903	5082002	-0.295
Fvb1	5175903	5176002	0.235282575
Fvb1	5472903	5473002	-0.598202824
Fvb1	5586603	5586702	-0.317168339
Fvb1	5748303	5748402	-0.212121212
Fvb1	5798503	5798602	-0.309
Fvb1	5971403	5971502	-0.241202346
Fvb1	6036203	6036302	0.226399332
Fvb1	6132903	6133002	-0.206518124
Fvb1	6209403	6209502	-0.298630845
Fvb1	6228403	6228502	0.405245902
Fvb1	6298103	6298202	-0.24272786
Fvb1	6366803	6366902	-0.387957317
Fvb1	6450603	6450702	-0.273195876
Fvb1	6724403	6724502	-0.25462963
Fvb1	6821203	6821302	-0.384343434
Fvb1	7311803	7311902	-0.364253394
Fvb1	7343303	7343402	-0.326312802
Fvb1	7374203	7374302	-0.204724409
Fvb1	7448903	7449002	0.308051948
Fvb1	7502103	7502202	0.260182584
Fvb1	7629303	7629402	0.274951076
Fvb1	7716403	7716502	0.373291925
Fvb1	7733503	7733602	0.232806865
Fvb1	7818703	7818802	-0.255681818
Fvb1	7858403	7858502	0.441699605
Fvb1	8048003	8048102	-0.214586255
Fvb1	8058603	8058702	-0.233333333
Fvb1	8169203	8169302	-0.476973684
Fvb1	8169303	8169402	-0.305480683
Fvb1	8175903	8176002	0.270652174
Fvb1	8352503	8352602	0.301948052
Fvb1	8380703	8380802	-0.230273752
Fvb1	8563903	8564002	0.343706196
Fvb1	8757603	8757702	0.263239875
Fvb1	9007403	9007502	-0.293819656
Fvb1	9022203	9022302	-0.308608059
Fvb1	9027703	9027802	-0.214285714
Fvb1	9224703	9224802	-0.331932773
Fvb1	9224803	9224902	-0.234042553
Fvb1	9315903	9316002	-0.379310345
Fvb1	9646803	9646902	0.324473976
Fvb1	9649203	9649302	-0.268716578
Fvb1	9705503	9705602	-0.275624462
Fvb1	9834803	9834902	-0.515292553
Fvb1	9852703	9852802	0.273139746
Fvb1	9900803	9900902	-0.230667256
Fvb1	9901603	9901702	-0.239028213
Fvb1	10095003	10095102	-0.236961451
Fvb1	10268003	10268102	0.225581395
Fvb1	10286603	10286702	-0.209935633
Fvb1	10303403	10303502	-0.349288061
Fvb1	10345703	10345802	-0.354990584
Fvb1	10484603	10484702	0.320015668
Fvb1	10490703	10490802	0.294346979
Fvb1	10570103	10570202	0.202991453
Fvb1	10640503	10640602	-0.49148364
Fvb1	10663103	10663202	-0.317647059
Fvb1	10712903	10713002	-0.328793691
Fvb1	10728503	10728602	-0.51078516
Fvb1	10789303	10789402	-0.210526316
Fvb1	10789603	10789702	-0.208333333
Fvb1	10820203	10820302	-0.30952381
Fvb1	10951903	10952002	-0.328460039
Fvb1	10978003	10978102	-0.250887049
Fvb1	11015503	11015602	-0.25
Fvb1	11020003	11020102	-0.291047188
Fvb1	11190003	11190102	-0.516296296
Fvb1	11215903	11216002	-0.335043988
Fvb1	11225503	11225602	-0.267389438
Fvb1	11525103	11525202	0.30261269
Fvb1	11564003	11564102	-0.265231092
Fvb1	11623103	11623202	-0.207051282
Fvb1	11662903	11663002	-0.289799528
Fvb1	12112203	12112302	-0.214715589
Fvb1	12293403	12293502	-0.316025641
Fvb1	12307203	12307302	-0.202651515
Fvb1	12379603	12379702	0.37979798
Fvb1	12384603	12384702	-0.41607565
Fvb1	12424803	12424902	-0.285767235
Fvb1	12538303	12538402	-0.481935484
Fvb1	12566103	12566202	-0.416118421
Fvb1	12658303	12658402	-0.23953448
Fvb1	12694503	12694602	-0.213450292
Fvb1	12809703	12809802	0.22859375
Fvb1	12892303	12892402	0.202991453
Fvb1	13052303	13052402	0.250612445
Fvb1	13073103	13073202	-0.209176404
Fvb1	13083903	13084002	-0.438333333
Fvb1	13084103	13084202	-0.228773585
Fvb1	13191003	13191102	-0.2
Fvb1	13202803	13202902	-0.336714976
Fvb1	13365503	13365602	0.309983897
Fvb1	13365603	13365702	0.291291291
Fvb1	13484003	13484102	-0.342598578
Fvb1	13490703	13490802	-0.225100216
Fvb1	13748603	13748702	-0.253746254
Fvb1	14008303	14008402	0.207557503
Fvb1	14008403	14008502	-0.277777778
Fvb1	14106803	14106902	-0.222025621
Fvb1	14220003	14220102	-0.249229188
Fvb1	14225703	14225802	0.319109462
Fvb1	14548803	14548902	-0.255382018
Fvb1	14678703	14678802	0.311844864
Fvb1	14720303	14720402	0.309432352
Fvb1	14787803	14787902	-0.211111111
Fvb1	14962003	14962102	0.200690052
Fvb1	14992503	14992602	-0.257465278
Fvb1	15097203	15097302	0.208664773
Fvb1	15193803	15193902	-0.207854406
Fvb1	15259903	15260002	-0.210098177
Fvb1	15593303	15593402	-0.277429467
Fvb1	15629203	15629302	-0.23851965
Fvb1	16151003	16151102	-0.260424423
Fvb1	16232003	16232102	0.298148148
Fvb1	16286403	16286502	-0.413288288
Fvb1	16906503	16906602	-0.270138039
Fvb1	16906603	16906702	-0.349285714
Fvb1	16915503	16915602	0.285008818
Fvb1	16936003	16936102	0.234173669
Fvb1	16939403	16939502	0.299599038
Fvb1	17060303	17060402	0.201543304
Fvb1	17143103	17143202	0.402777778
Fvb1	17223703	17223802	-0.249012508
Fvb1	17422903	17423002	-0.250293772
Fvb1	17428703	17428802	-0.472527473
Fvb1	17477203	17477302	-0.256547619
Fvb1	17565503	17565602	0.225279171
Fvb1	17589803	17589902	-0.214285714
Fvb1	17623903	17624002	0.252747253
Fvb1	17733903	17734002	-0.2125
Fvb1	17774703	17774802	0.274414716
Fvb1	17819503	17819602	0.300696736
Fvb1	17944803	17944902	-0.275165177
Fvb1	18145703	18145802	-0.269837057
Fvb1	18218703	18218802	0.3
Fvb1	18272203	18272302	-0.237074031
Fvb1	18330803	18330902	-0.208090075
Fvb1	18531203	18531302	-0.207627119
Fvb1	18696103	18696202	-0.265384615
Fvb1	19169103	19169202	-0.200980392
Fvb1	19278503	19278602	-0.349945235
Fvb1	19299003	19299102	0.281410256
Fvb1	19321303	19321402	0.230788934
Fvb1	19352503	19352602	0.289789169
Fvb1	19387303	19387402	-0.203703704
Fvb1	19463803	19463902	0.275384615
Fvb1	19824103	19824202	0.285067873
Fvb1	19900403	19900502	-0.291048185
Fvb1	20057103	20057202	-0.239604292
Fvb1	20436203	20436302	-0.388536528
Fvb1	20436303	20436402	-0.300679206
Fvb1	20496003	20496102	-0.238095238
Fvb1	20825703	20825802	-0.221830986
Fvb1	20959603	20959702	0.242077465
Fvb1	21265503	21265602	0.211695906
Fvb1	21459803	21459902	-0.236263736
Fvb1	22056003	22056102	0.326639893
Fvb1	22557903	22558002	-0.435739761
Fvb1	22776203	22776302	-0.21
Fvb1	22920603	22920702	-0.272408964
Fvb1	23135803	23135902	-0.230769231
Fvb1	23149603	23149702	-0.212292938
Fvb1	23615903	23616002	-0.317802368
Fvb1	23716703	23716802	-0.349358974
Fvb1	23738403	23738502	-0.308249964
Fvb1	23931603	23931702	-0.329109063
Fvb1	23958803	23958902	-0.252866503
Fvb1	24067203	24067302	0.293910522
Fvb1	24078503	24078602	-0.272545326
Fvb2	18301	18400	-0.308873144
Fvb2	84701	84800	-0.504901961
Fvb2	196901	197000	-0.208843159
Fvb2	259701	259800	-0.202991453
Fvb2	375501	375600	-0.349902534
Fvb2	478201	478300	0.281683405
Fvb2	648601	648700	-0.277037037
Fvb2	799801	799900	-0.273846154
Fvb2	963301	963400	0.379366041
Fvb2	1263401	1263500	-0.25633232
Fvb2	1264001	1264100	0.322822823
Fvb2	1279401	1279500	0.377909058
Fvb2	1358401	1358500	-0.291666667
Fvb2	1384301	1384400	-0.25
Fvb2	1405901	1406000	0.354285714
Fvb2	1527901	1528000	-0.223751687
Fvb2	1528001	1528100	-0.25166113
Fvb2	1598801	1598900	-0.207070707
Fvb2	1600701	1600800	0.205411765
Fvb2	1686301	1686400	0.345714286
Fvb2	1692401	1692500	-0.320634921
Fvb2	1803601	1803700	-0.232686517
Fvb2	1926801	1926900	0.282051282
Fvb2	2097501	2097600	-0.220930233
Fvb2	2178701	2178800	0.249632028
Fvb2	2281601	2281700	0.243311743
Fvb2	2283501	2283600	-0.501074242
Fvb2	2417501	2417600	0.3342653
Fvb2	2855701	2855800	-0.415870378
Fvb2	3038001	3038100	0.235897436
Fvb2	3094501	3094600	-0.202004219
Fvb2	4142701	4142800	-0.307519641
Fvb2	4142801	4142900	-0.210847976
Fvb2	4443701	4443800	-0.27672956
Fvb2	4740401	4740500	-0.254604872
Fvb2	4864201	4864300	-0.211574953
Fvb2	4980101	4980200	0.225519098
Fvb2	5064401	5064500	-0.209716599
Fvb2	5234601	5234700	-0.235294118
Fvb2	5382001	5382100	-0.370892019
Fvb2	5430101	5430200	0.281800391
Fvb2	5463901	5464000	-0.387987013
Fvb2	5517701	5517800	0.25
Fvb2	5530101	5530200	-0.260869565
Fvb2	5562801	5562900	0.247724975
Fvb2	5720201	5720300	-0.21061008
Fvb2	6079701	6079800	-0.215067079
Fvb2	6109201	6109300	-0.451508621
Fvb2	6130801	6130900	-0.32545156
Fvb2	6132501	6132600	-0.219487179
Fvb2	6140801	6140900	0.240196078
Fvb2	6148201	6148300	-0.282089552
Fvb2	6268601	6268700	-0.212250712
Fvb2	6280901	6281000	-0.302941176
Fvb2	6296701	6296800	-0.331518451
Fvb2	6603701	6603800	-0.222222222
Fvb2	6760701	6760800	0.295180723
Fvb2	6768401	6768500	-0.26
Fvb2	7127001	7127100	-0.31671159
Fvb2	7134201	7134300	-0.321100917
Fvb2	7356301	7356400	-0.35565859
Fvb2	7356401	7356500	-0.2525
Fvb2	7361901	7362000	-0.250291489
Fvb2	7687701	7687800	0.285539216
Fvb2	7689301	7689400	-0.292187341
Fvb2	7705901	7706000	0.337719298
Fvb2	7897101	7897200	0.328888889
Fvb2	8279901	8280000	-0.22078252
Fvb2	8741501	8741600	0.213855422
Fvb2	8780401	8780500	0.23150062
Fvb2	9018401	9018500	-0.35496459
Fvb2	9036701	9036800	-0.249230769
Fvb2	9253501	9253600	0.219403366
Fvb2	9323201	9323300	0.225903614
Fvb2	9469901	9470000	-0.212418301
Fvb2	9614301	9614400	-0.217890772
Fvb2	9821101	9821200	0.271698113
Fvb2	10290501	10290600	0.413043478
Fvb2	10752401	10752500	-0.341463415
Fvb2	10820101	10820200	0.253246753
Fvb2	11090401	11090500	-0.405487805
Fvb2	11165601	11165700	0.327203551
Fvb2	11199501	11199600	0.269045323
Fvb2	11278801	11278900	-0.301659125
Fvb2	11352301	11352400	-0.264931598
Fvb2	11360701	11360800	-0.276109368
Fvb2	11378701	11378800	-0.314144737
Fvb2	11420901	11421000	-0.271778821
Fvb2	11427401	11427500	-0.262755102
Fvb2	11459601	11459700	-0.393424036
Fvb2	11489501	11489600	-0.34469697
Fvb2	11554401	11554500	-0.227993656
Fvb2	11556501	11556600	-0.290909091
Fvb2	11873001	11873100	-0.267272727
Fvb2	11964901	11965000	-0.201275736
Fvb2	12062801	12062900	-0.301052632
Fvb2	12066301	12066400	0.267105263
Fvb2	12093401	12093500	-0.278586279
Fvb2	12151101	12151200	-0.30517024
Fvb2	12340801	12340900	-0.224660397
Fvb2	12471001	12471100	-0.242894057
Fvb2	12519501	12519600	-0.236694678
Fvb2	12701701	12701800	-0.274891775
Fvb2	13120601	13120700	0.270981508
Fvb2	13141401	13141500	0.217391304
Fvb2	13245301	13245400	-0.25495338
Fvb2	13280801	13280900	-0.223505435
Fvb2	13486201	13486300	-0.358151396
Fvb2	13491301	13491400	-0.240245262
Fvb2	13547701	13547800	0.214941485
Fvb2	13653301	13653400	-0.228276878
Fvb2	13674101	13674200	-0.246941046
Fvb2	13709601	13709700	0.310743802
Fvb2	13897601	13897700	0.20952381
Fvb2	13978201	13978300	-0.2784027
Fvb2	14006401	14006500	-0.442028986
Fvb2	14036801	14036900	0.22826087
Fvb2	14092101	14092200	-0.27661406
Fvb2	14214101	14214200	-0.209121246
Fvb2	14567201	14567300	-0.224056604
Fvb2	14572201	14572300	-0.219526804
Fvb2	14603401	14603500	0.26744186
Fvb2	14623401	14623500	-0.229830421
Fvb2	14686301	14686400	-0.209868421
Fvb2	14700401	14700500	-0.32937166
Fvb2	14988401	14988500	-0.222222222
Fvb2	15098201	15098300	0.228235294
Fvb2	15251301	15251400	-0.342738343
Fvb2	15255801	15255900	-0.219421102
Fvb2	15339401	15339500	0.261363636
Fvb2	15349901	15350000	-0.252554745
Fvb2	15406801	15406900	-0.209508015
Fvb2	15542701	15542800	-0.26007326
Fvb2	15950901	15951000	-0.244551003
Fvb2	15974801	15974900	0.282017544
Fvb2	16029001	16029100	-0.256571158
Fvb2	16097701	16097800	0.376623377
Fvb2	16102801	16102900	0.361111111
Fvb2	16110301	16110400	-0.215667915
Fvb2	16164301	16164400	0.354871795
Fvb2	16270201	16270300	-0.29021151
Fvb2	16667901	16668000	-0.219512195
Fvb2	16768601	16768700	0.225311991
Fvb2	16974601	16974700	0.271607606
Fvb2	17052701	17052800	-0.23192436
Fvb2	17063801	17063900	-0.233599291
Fvb2	17094801	17094900	0.258467023
Fvb2	17176701	17176800	-0.255072464
Fvb2	17184201	17184300	-0.313840156
Fvb2	17191201	17191300	-0.404726182
Fvb2	17214401	17214500	-0.458874459
Fvb2	17271801	17271900	0.338405797
Fvb2	17316301	17316400	-0.53015873
Fvb2	17322001	17322100	0.393478261
Fvb2	17462201	17462300	-0.208333333
Fvb2	17632701	17632800	0.317073171
Fvb2	17644501	17644600	-0.303030303
Fvb2	17729601	17729700	0.225117371
Fvb2	17746801	17746900	-0.219801553
Fvb2	17792901	17793000	-0.209197652
Fvb2	17895901	17896000	-0.407727273
Fvb2	17913901	17914000	-0.278255881
Fvb2	18190101	18190200	0.233511586
Fvb2	18193801	18193900	0.242239526
Fvb2	18306601	18306700	0.216216216
Fvb2	18309701	18309800	-0.315068493
Fvb2	18367201	18367300	-0.275233538
Fvb2	18498901	18499000	0.325456498
Fvb2	18499101	18499200	0.305555556
Fvb2	18500401	18500500	0.266876475
Fvb2	18873501	18873600	0.280731364
Fvb2	19047401	19047500	0.238297872
Fvb2	19152901	19153000	0.222052587
Fvb2	19158901	19159000	0.223684211
Fvb2	19281201	19281300	-0.334668001
Fvb2	19378301	19378400	0.207010582
Fvb2	19438501	19438600	0.200828157
Fvb2	19818701	19818800	-0.268855219
Fvb2	19885501	19885600	-0.254707336
Fvb2	19897801	19897900	-0.287603306
Fvb2	19900801	19900900	0.257035003
Fvb2	20379801	20379900	0.268292683
Fvb2	20382701	20382800	-0.340909091
Fvb2	20682701	20682800	-0.441239316
Fvb2	20690401	20690500	-0.360544218
Fvb2	20709201	20709300	-0.256666667
Fvb2	20825901	20826000	-0.306060606
Fvb2	20898801	20898900	-0.329749104
Fvb2	21116501	21116600	0.260416667
Fvb2	21188201	21188300	-0.40018315
Fvb2	21189701	21189800	-0.34682861
Fvb2	21189901	21190000	-0.324675325
Fvb2	21532601	21532700	0.271531887
Fvb2	21615501	21615600	-0.326530612
Fvb2	21626701	21626800	-0.274950275
Fvb2	21837901	21838000	-0.2
Fvb2	21838401	21838500	0.202637826
Fvb2	22029201	22029300	0.408088235
Fvb2	22076301	22076400	0.244980695
Fvb2	22079401	22079500	-0.259597378
Fvb2	22086301	22086400	0.22674772
Fvb2	22096401	22096500	-0.263319672
Fvb2	22183401	22183500	0.257440476
Fvb2	22257101	22257200	0.213329902
Fvb2	22259701	22259800	-0.220201543
Fvb2	22321701	22321800	-0.235971758
Fvb2	22357301	22357400	-0.301674641
Fvb2	22368801	22368900	0.232429441
Fvb2	22490701	22490800	-0.237362637
Fvb2	22528501	22528600	-0.207539812
Fvb2	22700801	22700900	-0.253021757
Fvb2	22876301	22876400	0.201612903
Fvb2	22881201	22881300	-0.380701754
Fvb2	22892201	22892300	0.221230159
Fvb2	23054401	23054500	0.454365079
Fvb2	23133201	23133300	-0.310062893
Fvb2	23390201	23390300	0.433184473
Fvb2	23392701	23392800	0.392456677
Fvb2	23402701	23402800	-0.368534483
Fvb2	23487701	23487800	0.201656972
Fvb2	23651201	23651300	0.203789042
Fvb2	23874801	23874900	-0.215911301
Fvb2	23879001	23879100	-0.307070707
Fvb2	24016901	24017000	-0.373303167
Fvb2	24048401	24048500	-0.296092796
Fvb2	24173901	24174000	-0.415372362
Fvb2	24435301	24435400	0.271112086
Fvb2	24507101	24507200	0.240418502
Fvb2	24663301	24663400	0.37012987
Fvb2	24671501	24671600	0.324404762
Fvb2	24849301	24849400	-0.45
Fvb2	24942701	24942800	-0.435897436
Fvb2	25043001	25043100	0.225935829
Fvb2	25045801	25045900	0.419630156
Fvb2	25210901	25211000	-0.339920949
Fvb2	25366401	25366500	-0.252066116
Fvb2	25544201	25544300	-0.213034045
Fvb2	25572801	25572900	0.321705426
Fvb2	25601801	25601900	0.233495935
Fvb2	25611001	25611100	0.278752437
Fvb2	25667901	25668000	-0.358870968
Fvb2	25682701	25682800	0.27027027
Fvb2	25725201	25725300	0.242424242
Fvb2	25769801	25769900	0.211538462
Fvb2	25777601	25777700	0.212299465
Fvb2	25876701	25876800	-0.301587302
Fvb2	25922601	25922700	0.296224961
Fvb2	25948101	25948200	-0.203728814
Fvb2	25953901	25954000	-0.209732989
Fvb2	26050001	26050100	0.393120393
Fvb2	26326001	26326100	0.200463052
Fvb2	26535901	26536000	-0.263095238
Fvb2	26559001	26559100	-0.288093463
Fvb2	26796501	26796600	-0.311688312
Fvb2	26844501	26844600	-0.230952381
Fvb2	26947901	26948000	0.353383459
Fvb2	27225501	27225600	-0.283295063
Fvb2	27437601	27437700	-0.366258741
Fvb2	27562401	27562500	-0.288763066
Fvb2	27576801	27576900	0.235100485
Fvb2	27651901	27652000	0.255036855
Fvb2	27894801	27894900	-0.202959831
Fvb2	27918101	27918200	-0.417612442
Fvb2	27962701	27962800	0.332706767
Fvb2	28115101	28115200	-0.209977662
Fvb2	28131601	28131700	-0.255952381
Fvb2	28180901	28181000	-0.214385965
Fvb2	28217801	28217900	-0.205747126
Fvb2	28281801	28281900	-0.268091168
Fvb2	28318401	28318500	0.246693945
Fvb2	28400701	28400800	0.220615672
Fvb2	28479501	28479600	0.331578947
Fvb2	28641901	28642000	-0.242203742
Fvb2	28642201	28642300	0.238549429
Fvb2	28956001	28956100	-0.301923077
Fvb2	28975701	28975800	0.351612903
Fvb2	29019401	29019500	-0.233147558
Fvb2	29296701	29296800	-0.237753883
Fvb3	26203	26302	0.210391426
Fvb3	121203	121302	-0.214247741
Fvb3	152603	152702	0.260699438
Fvb3	152703	152802	0.484696318
Fvb3	159203	159302	0.237804878
Fvb3	230203	230302	-0.317204301
Fvb3	233503	233602	-0.219470046
Fvb3	287603	287702	-0.376074332
Fvb3	424803	424902	0.327179487
Fvb3	451303	451402	-0.228918576
Fvb3	453303	453402	0.214228255
Fvb3	453403	453502	0.284905414
Fvb3	548703	548802	0.266576951
Fvb3	566503	566602	-0.214245014
Fvb3	599803	599902	-0.220070423
Fvb3	663903	664002	0.263888889
Fvb3	779103	779202	0.246334311
Fvb3	779703	779802	-0.23125
Fvb3	974503	974602	0.343253968
Fvb3	1152603	1152702	0.390222985
Fvb3	1209003	1209102	-0.206917114
Fvb3	1257803	1257902	0.23943662
Fvb3	1454803	1454902	0.227272727
Fvb3	1860303	1860402	0.253697893
Fvb3	1864903	1865002	-0.209069767
Fvb3	1895503	1895602	-0.285714286
Fvb3	2012603	2012702	-0.25
Fvb3	2066503	2066602	-0.211594203
Fvb3	2102803	2102902	0.308651026
Fvb3	2138903	2139002	0.220491803
Fvb3	2148803	2148902	-0.273870783
Fvb3	2203003	2203102	-0.275958188
Fvb3	2264603	2264702	0.504273504
Fvb3	2272903	2273002	-0.339305711
Fvb3	2361603	2361702	0.246884735
Fvb3	2434503	2434602	-0.283159463
Fvb3	2434603	2434702	-0.441043523
Fvb3	2538703	2538802	0.370101986
Fvb3	2539903	2540002	-0.367732558
Fvb3	2581903	2582002	0.22972583
Fvb3	2602403	2602502	-0.244015668
Fvb3	2625003	2625102	0.211111111
Fvb3	2628903	2629002	0.246770026
Fvb3	2629103	2629202	0.267099567
Fvb3	2705303	2705402	-0.220689655
Fvb3	2795203	2795302	0.202631579
Fvb3	2834003	2834102	0.233664773
Fvb3	2884603	2884702	0.214231355
Fvb3	2935003	2935102	-0.234811958
Fvb3	2936103	2936202	0.240524295
Fvb3	3007503	3007602	-0.385620915
Fvb3	3410303	3410402	-0.258181818
Fvb3	3520303	3520402	-0.291572184
Fvb3	3520403	3520502	-0.359649123
Fvb3	3565903	3566002	-0.200722394
Fvb3	3650003	3650102	0.282263191
Fvb3	3650103	3650202	0.413407418
Fvb3	3652903	3653002	-0.2098126
Fvb3	3698303	3698402	-0.218899522
Fvb3	3703303	3703402	-0.287276786
Fvb3	3717903	3718002	-0.384848485
Fvb3	3793903	3794002	-0.232186732
Fvb3	3806403	3806502	-0.243902439
Fvb3	3831003	3831102	-0.445153061
Fvb3	3840603	3840702	-0.398312236
Fvb3	4005803	4005902	-0.317952098
Fvb3	4028303	4028402	-0.250337079
Fvb3	4115403	4115502	0.353070175
Fvb3	4200303	4200402	-0.324242424
Fvb3	4392903	4393002	-0.323671498
Fvb3	4463503	4463602	-0.208045977
Fvb3	4910003	4910102	0.285
Fvb3	4918603	4918702	-0.271612903
Fvb3	5045103	5045202	0.267529666
Fvb3	5235603	5235702	-0.280198566
Fvb3	5287203	5287302	0.263316151
Fvb3	5333003	5333102	-0.21167207
Fvb3	5478503	5478602	-0.273809524
Fvb3	5497503	5497602	0.226315789
Fvb3	5744003	5744102	-0.473389356
Fvb3	5890103	5890202	-0.268292683
Fvb3	6355103	6355202	0.211698554
Fvb3	6379303	6379402	-0.380136986
Fvb3	6645203	6645302	-0.256745291
Fvb3	6672003	6672102	-0.427586207
Fvb3	6724203	6724302	-0.332171893
Fvb3	7306603	7306702	-0.226973684
Fvb3	7323203	7323302	-0.204361055
Fvb3	7336103	7336202	-0.225731895
Fvb3	7347103	7347202	-0.231684982
Fvb3	7716303	7716402	-0.274557893
Fvb3	7797303	7797402	-0.295334686
Fvb3	7866603	7866702	-0.385416667
Fvb3	7889403	7889502	-0.239035088
Fvb3	7927403	7927502	-0.32743106
Fvb3	7930903	7931002	-0.393953708
Fvb3	7954803	7954902	-0.328421053
Fvb3	8088203	8088302	0.293292683
Fvb3	8124903	8125002	-0.314285714
Fvb3	8201403	8201502	0.225938313
Fvb3	8362503	8362602	-0.27236894
Fvb3	8362603	8362702	-0.502564103
Fvb3	8420503	8420602	0.324324324
Fvb3	8901903	8902002	0.2
Fvb3	9183103	9183202	0.373529412
Fvb3	9310203	9310302	0.311965812
Fvb3	9336503	9336602	-0.355875153
Fvb3	9519703	9519802	-0.382187938
Fvb3	9535503	9535602	-0.299870968
Fvb3	9680203	9680302	-0.308371736
Fvb3	9736903	9737002	0.209460581
Fvb3	9979503	9979602	0.241414141
Fvb3	10102403	10102502	-0.277777778
Fvb3	10201303	10201402	-0.306959707
Fvb3	10266903	10267002	-0.256521739
Fvb3	10582203	10582302	0.219531456
Fvb3	10601403	10601502	0.225473322
Fvb3	10820303	10820402	-0.240079365
Fvb3	10875503	10875602	-0.25801082
Fvb3	10919703	10919802	0.373843058
Fvb3	11076803	11076902	-0.227272727
Fvb3	11263503	11263602	0.228174603
Fvb3	11286603	11286702	0.329545455
Fvb3	11349903	11350002	-0.262219666
Fvb3	11387903	11388002	-0.265385495
Fvb3	11427303	11427402	-0.249082007
Fvb3	11469603	11469702	-0.268608414
Fvb3	11501103	11501202	0.232580038
Fvb3	11672503	11672602	-0.260869565
Fvb3	11709903	11710002	-0.232854864
Fvb3	11771703	11771802	-0.280665281
Fvb3	11824403	11824502	-0.254874537
Fvb3	11953303	11953402	-0.228196368
Fvb3	12134603	12134702	-0.204456015
Fvb3	12424903	12425002	-0.278507079
Fvb3	12467903	12468002	-0.202786378
Fvb3	12647303	12647402	-0.28486924
Fvb3	12690403	12690502	-0.284920635
Fvb3	12736303	12736402	-0.20582878
Fvb3	12790303	12790402	0.299284985
Fvb3	13065503	13065602	0.217105263
Fvb3	13070703	13070802	0.2125
Fvb3	13070803	13070902	0.230459926
Fvb3	13070903	13071002	0.263672815
Fvb3	13178803	13178902	-0.269230769
Fvb3	13286203	13286302	-0.209302326
Fvb3	13608203	13608302	-0.255167498
Fvb3	13814303	13814402	-0.312087281
Fvb3	13910603	13910702	0.283655744
Fvb3	13946503	13946602	-0.410714286
Fvb3	14152803	14152902	-0.321538462
Fvb3	14198403	14198502	0.235539812
Fvb3	14288003	14288102	0.306515957
Fvb3	14506403	14506502	-0.533799534
Fvb3	14689603	14689702	-0.281329923
Fvb3	14725003	14725102	-0.228225806
Fvb3	14772203	14772302	-0.398169336
Fvb3	14822703	14822802	-0.343093093
Fvb3	15119103	15119202	-0.353735632
Fvb3	15131603	15131702	-0.293255132
Fvb3	15157403	15157502	-0.378787879
Fvb3	15220403	15220502	0.219868367
Fvb3	15315003	15315102	0.265327696
Fvb3	15401403	15401502	-0.222222222
Fvb3	15465703	15465802	-0.200866536
Fvb3	15473403	15473502	0.323376623
Fvb3	15490403	15490502	-0.218787443
